group,SPORT
ArenaSport1.hr,Arena Sport 1,http://netiptv.dyndns.tv:80/live?channelId=39&uid=6&deviceUser=dreamsat&devicePass=pro001
ArenaSport2.hr,Arena Sport 2,http://netiptv.dyndns.tv:80/live?channelId=40&uid=6&deviceUser=dreamsat&devicePass=pro001
ArenaSport3.hr,Arena Sport 3,http://netiptv.dyndns.tv:80/live?channelId=41&uid=6&deviceUser=dreamsat&devicePass=pro001
ArenaSport4.rs,Arena Sport 4,http://netiptv.dyndns.tv:80/live?channelId=80&uid=6&deviceUser=dreamsat&devicePass=pro001
SportKlub.hr,Sport Klub 1,http://netiptv.dyndns.tv:80/live?channelId=81&uid=6&deviceUser=dreamsat&devicePass=pro001
Sportklub2.si,Sport Klub 2,http://netiptv.dyndns.tv:80/live?channelId=42&uid=6&deviceUser=dreamsat&devicePass=pro001
SportKlub3.hr,Sport Klub 3,http://netiptv.dyndns.tv:80/live?channelId=43&uid=6&deviceUser=dreamsat&devicePass=pro001
ext,SportsNet360,http://nlds187.cdnak.neulion.com/nlds/sportsnetnow/sn_360/as/live/sn_360_hd_ipad.m3u8
esp,Eurosport,http://146.158.123.198:4022/udp/239.72.6.50:1234
esp2,Eurosport 2,http://146.158.123.198:4022/udp/239.72.6.51:1234
ext,ESPN 1080p,http://200.76.77.237/LIVE/H01/CANAL516/PROFILE05.m3u8?
ntv,Fox Sport,http://113.160.49.34/lives/origin03/foxhd.isml/foxhd-2096k.m3u8
ext,Fox Sports 2 1080p,http://200.76.77.237/LIVE/H01/CANAL527/PROFILE05.m3u8?
ext,Fox Sport News,http://foxsportshdhls-lh.akamaihd.net/i/fsnewshls_0@136427/index_2128_av-p.m3u8?sd=10&rebase=on
ext,PRO SPORT 1,http://185.56.30.127:8082/TV4133
ext,PRO SPORT 2,http://185.56.30.127:8082/TV4134
ext,PRO SPORT 3,http://185.56.30.127:8082/TV4135
ext,British Eurosport 1,rtmp://80.82.64.140:443/liverepeater
Eurosport2UK.uk,British Eurosport 2,rtmp://80.82.78.26:443/liverepeater
ext,BEIN SPORT HD1 FR,http://185.56.30.127:8082/TV4016
ext,BEIN SPORT HD2 FR,http://185.56.30.127:8082/TV4017
ext,BEIN SPORT HD1 FR1,http://91.109.20.227:8080/TV4016?ainroua2021HD
ext,BEIN SPORT HD2 FR1,http://91.109.20.227:8080/TV4017?ainroua2021HD
ext,CNOPT SPORT,http://92.50.181.6/tv/1114/index.m3u8
sport1_rus,CNOPT 1,http://92.50.181.6/tv/1115/index.m3u8
ext,Real Madrid TV HD SP,http://rmtvlive-lh.akamaihd.net/i/rmtv_1@154306/index_1250_av-p.m3u8?sd=10&rebase=on
ext,PRO SPORTS 1 HD AR,http://91.109.20.227:8080/TV4133
ext,PRO SPORTS 2 HD AR,http://91.109.20.227:8080/TV4134
ext,PRO SPORTS 3 HD AR,http://91.109.20.227:8080/TV4135
ext,OMN SPORTS HD ENG,http://185.27.237.105:8082/TV0104
ext,Eurosport 1 RU,http://185.38.12.20:8088/eurosport/
esp2,Eurosport 2 RU,http://185.38.12.20:8088/eurosport2/
ext,Eurosport 1 RU1,http://178.49.132.73/streaming/eurosport/tvrec/playlist.m3u8
ext,Eurosport 2 RU1,http://178.49.132.73/streaming/eurosport2/tvrec/playlist.m3u8
ext,Nile Sport AR,http://arabic.dynns.com:1935/arabic/NileSport/chunklist_w499764461.m3u8?wmsAuthSign
ext,Al Nahar Sport AR,http://50.7.180.18:1935/elnahar_tv/nahar_sportprofile2.stream/chunklist_w803090614.m3u8?v=3315732402
ext,Abu Dhabi Sports 1 AR,http://odna.octoshape.net/h5f3k7p8/cds/smil:adsport1hd/chunklist_b880000.m3u8
ext,Abu Dhabi Sports 2 AR,http://odna.octoshape.net/h5f3k7p8/cds/smil:adsport2hd/chunklist_b880000.m3u8
ext,Abu Dhabi Sports 3 AR,http://205.185.216.10/h5f3k7p8/cds/smil:adsportextrahd/gmswf.m3u8
ext,Dubai sports 3 AR,http://cdnehlsdubaisports3.endavomedia.com/smil:dmilivedubaisports3.smil/HasBahCa.m3u8
ext,ENCORE BAY AREA ENG,http://www.xrxs.net/video/live-p12baya-4728.m3u8
ext,ENCORE LOS ANGELES ENG,http://xrxs.net/video/live-p12losa-4728.m3u8
